frame,t,yellow_frac
701,23.3667,0.00728
702,23.4000,0.00728
703,23.4333,0.00728
704,23.4667,0.00728
705,23.5000,0.00728
706,23.5333,0.00728
707,23.5667,0.00728
708,23.6000,0.00728
709,23.6333,0.00728
710,23.6667,0.00728
711,23.7000,0.00728
712,23.7333,0.00729
713,23.7667,0.00728
714,23.8000,0.00729
715,23.8333,0.00729
716,23.8667,0.00729
717,23.9000,0.00728
718,23.9333,0.00728
719,23.9667,0.00728
720,24.0000,0.00728
721,24.0333,0.00728
722,24.0667,0.00728
723,24.1000,0.00728
724,24.1333,0.00728
725,24.1667,0.00728
726,24.2000,0.00728
727,24.2333,0.00728
728,24.2667,0.00728
729,24.3000,0.00732
730,24.3333,0.00732
731,24.3667,0.00732
732,24.4000,0.00732
733,24.4333,0.00732
734,24.4667,0.00732
735,24.5000,0.00732
736,24.5333,0.00732
737,24.5667,0.00732
738,24.6000,0.00000
739,24.6333,0.00000
740,24.6667,0.00000
741,24.7000,0.00000
742,24.7333,0.00000
743,24.7667,0.00000
744,24.8000,0.00000
745,24.8333,0.00000
746,24.8667,0.00000
747,24.9000,0.00000
748,24.9333,0.00000
749,24.9667,0.00000
750,25.0000,0.00000
751,25.0333,0.00000
752,25.0667,0.00000
753,25.1000,0.00000
754,25.1333,0.00000
755,25.1667,0.00000
756,25.2000,0.00000
757,25.2333,0.00000
758,25.2667,0.00000
759,25.3000,0.00000
760,25.3333,0.00000
761,25.3667,0.00000
762,25.4000,0.00000
763,25.4333,0.00000
764,25.4667,0.00000
765,25.5000,0.00000
766,25.5333,0.00000
767,25.5667,0.00000
768,25.6000,0.00000
769,25.6333,0.00000
770,25.6667,0.00000
771,25.7000,0.00000
772,25.7333,0.00000
773,25.7667,0.00000
774,25.8000,0.00000
775,25.8333,0.00000
776,25.8667,0.00000
777,25.9000,0.00000
778,25.9333,0.00000
779,25.9667,0.00000
780,26.0000,0.00000
781,26.0333,0.00000
782,26.0667,0.00000
783,26.1000,0.00000
784,26.1333,0.00000
785,26.1667,0.00000
786,26.2000,0.00000
787,26.2333,0.00000
788,26.2667,0.00000
789,26.3000,0.00000
790,26.3333,0.00000
791,26.3667,0.00000
792,26.4000,0.00000
793,26.4333,0.00000
794,26.4667,0.00000
795,26.5000,0.00000
796,26.5333,0.00000
797,26.5667,0.00000
798,26.6000,0.00000
799,26.6333,0.00000
800,26.6667,0.00000
801,26.7000,0.00000
802,26.7333,0.00000
803,26.7667,0.00000
804,26.8000,0.00000
805,26.8333,0.00000
806,26.8667,0.00000
807,26.9000,0.00000
808,26.9333,0.00000
809,26.9667,0.00000
810,27.0000,0.00000
811,27.0333,0.00000
812,27.0667,0.00000
813,27.1000,0.00000
814,27.1333,0.00000
815,27.1667,0.00000
816,27.2000,0.00000
817,27.2333,0.00000
818,27.2667,0.00000
819,27.3000,0.00000
820,27.3333,0.00000
821,27.3667,0.00000
822,27.4000,0.00000
823,27.4333,0.00000
824,27.4667,0.00001
825,27.5000,0.00004
826,27.5333,0.00005
827,27.5667,0.00005
828,27.6000,0.00005
829,27.6333,0.00005
830,27.6667,0.00010
831,27.7000,0.00012
832,27.7333,0.00013
833,27.7667,0.00013
834,27.8000,0.00014
835,27.8333,0.00014
836,27.8667,0.00014
837,27.9000,0.00014
838,27.9333,0.00014
839,27.9667,0.00013
840,28.0000,0.00013
841,28.0333,0.00014
842,28.0667,0.00016
843,28.1000,0.00016
844,28.1333,0.00016
845,28.1667,0.00016
846,28.2000,0.00016
847,28.2333,0.00016
848,28.2667,0.00016
849,28.3000,0.00016
850,28.3333,0.00016
851,28.3667,0.00017
852,28.4000,0.00017
853,28.4333,0.00017
854,28.4667,0.00017
855,28.5000,0.00018
856,28.5333,0.00018
857,28.5667,0.00018
858,28.6000,0.00018
859,28.6333,0.00019
860,28.6667,0.00019
861,28.7000,0.00019
862,28.7333,0.00019
863,28.7667,0.00019
864,28.8000,0.00019
865,28.8333,0.00019
866,28.8667,0.00019
867,28.9000,0.00018
868,28.9333,0.00018
869,28.9667,0.00018
870,29.0000,0.00018
871,29.0333,0.00018
872,29.0667,0.00018
873,29.1000,0.00018
874,29.1333,0.00019
875,29.1667,0.00019
876,29.2000,0.00019
877,29.2333,0.00019
878,29.2667,0.00019
879,29.3000,0.00019
880,29.3333,0.00019
881,29.3667,0.00019
882,29.4000,0.00019
883,29.4333,0.00019
884,29.4667,0.00019
885,29.5000,0.00019
886,29.5333,0.00019
887,29.5667,0.00019
888,29.6000,0.00019
889,29.6333,0.00019
890,29.6667,0.00016
891,29.7000,0.00016
892,29.7333,0.00016
893,29.7667,0.00016
894,29.8000,0.00016
895,29.8333,0.00016
896,29.8667,0.00016
897,29.9000,0.00016
898,29.9333,0.00016
899,29.9667,0.00016
900,30.0000,0.00016
901,30.0333,0.00014
902,30.0667,0.00008
903,30.1000,0.00006
904,30.1333,0.00007
905,30.1667,0.00006
906,30.2000,0.00006
907,30.2333,0.00007
908,30.2667,0.00012
909,30.3000,0.00013
910,30.3333,0.00013
911,30.3667,0.00014
912,30.4000,0.00014
913,30.4333,0.00014
914,30.4667,0.00014
915,30.5000,0.00014
916,30.5333,0.00014
917,30.5667,0.00014
918,30.6000,0.00014
919,30.6333,0.00014
920,30.6667,0.00019
921,30.7000,0.00019
922,30.7333,0.00019
923,30.7667,0.00019
924,30.8000,0.00019
925,30.8333,0.00019
926,30.8667,0.00019
927,30.9000,0.00019
928,30.9333,0.00019
929,30.9667,0.00019
930,31.0000,0.00019
931,31.0333,0.00019
932,31.0667,0.00019
933,31.1000,0.00019
934,31.1333,0.00019
935,31.1667,0.00019
936,31.2000,0.00019
937,31.2333,0.00019
938,31.2667,0.00019
939,31.3000,0.00019
940,31.3333,0.00019
941,31.3667,0.00019
942,31.4000,0.00019
943,31.4333,0.00019
944,31.4667,0.00019
945,31.5000,0.00019
946,31.5333,0.00019
947,31.5667,0.00019
948,31.6000,0.00018
949,31.6333,0.00018
950,31.6667,0.00018
951,31.7000,0.00018
952,31.7333,0.00018
953,31.7667,0.00018
954,31.8000,0.00018
955,31.8333,0.00018
956,31.8667,0.00018
957,31.9000,0.00018
958,31.9333,0.00018
959,31.9667,0.00018
